Frame ID,QR id,QR 2D,QR 3D
225,9,"[[640.  21.], [661.  24.], [656.  48.], [635.  44.]]","[2.183554921050927, 11.667595099331947, -19.150030324855493, 0]"
227,9,"[[644.  34.], [666.  38.], [661.  62.], [638.  57.]]","[2.1487377215968335, 11.922553826360684, -18.39120703367038, 0]"
228,8,"[[596.  22.], [608.  24.], [605.  38.], [593.  36.]]","[3.63026975607005, 8.781779037984393, -19.375157351736025, 0]"
229,9,"[[656.  45.], [677.  49.], [672.  74.], [650.  69.]]","[2.0608698962741694, 12.606852269377669, -17.740179560633443, 0]"
230,9,"[[719.  69.], [743.  74.], [735. 100.], [712.  95.]]","[1.9298682111390386, 16.350940899058315, -16.3065018788558, 0]"
230,8,"[[659.  51.], [672.  54.], [668.  68.], [655.  66.]]","[3.434460867178201, 12.597008548155543, -17.712863350964078, 0]"
231,9,"[[709. 108.], [736. 110.], [731. 139.], [704. 136.]]","[1.744475622510245, 15.917973188723693, -14.035380143770684, 0]"
232,9,"[[719.  98.], [746. 101.], [742. 130.], [713. 127.]]","[1.7335427770096477, 16.50895623957217, -14.582631855056475, 0]"
232,8,"[[646.  85.], [660.  86.], [657. 102.], [643. 101.]]","[3.0737090553675714, 11.86509418644556, -15.763039957067104, 0]"
233,9,"[[722.  88.], [750.  91.], [745. 120.], [716. 116.]]","[1.7559690106131387, 16.696693266201777, -15.187478628013414, 0]"
234,9,"[[729.  77.], [758.  79.], [752. 109.], [725. 106.]]","[1.7303830540338574, 17.143896947960144, -15.829780887698632, 0]"
235,9,"[[744.  75.], [773.  76.], [770. 107.], [740. 105.]]","[1.689960097552008, 18.047613253467546, -15.948236940293137, 0]"
236,9,"[[752.  70.], [782.  72.], [777. 103.], [748. 100.]]","[1.692575382432248, 18.50374802881788, -16.210503120015787, 0]"
237,9,"[[755.  56.], [784.  57.], [779.  89.], [750.  86.]]","[1.684638360478647, 18.632798687240978, -17.033520498187592, 0]"
238,9,"[[753.  48.], [784.  50.], [779.  82.], [750.  80.]]","[1.6375375876315343, 18.605160901423545, -17.43269695025595, 0]"
239,9,"[[752.  57.], [782.  59.], [778.  91.], [746.  88.]]","[1.6525275623350126, 18.496429826634056, -16.933365713388028, 0]"
239,8,"[[674.  46.], [688.  46.], [686.  63.], [671.  63.]]","[2.9966923323338954, 13.566893822897129, -18.017071626587224, 0]"
240,9,"[[721.  66.], [754.  70.], [747. 104.], [715. 100.]]","[1.5034242114366059, 16.761891852185215, -16.2757955299925, 0]"
240,8,"[[636.  50.], [651.  51.], [649.  68.], [633.  67.]]","[3.1716576855670744, 11.315614240233913, -17.750202613884372, 0]"
241,9,"[[657.  69.], [694.  72.], [688. 113.], [651. 108.]]","[1.2545505154999588, 13.114172824370456, -15.93909113226853, 0]"
241,8,"[[561.  48.], [577.  49.], [575.  68.], [559.  67.]]","[2.6500326293880856, 6.771108261037625, -17.783368157419062, 0]"
242,9,"[[666.  64.], [704.  68.], [698. 110.], [660. 104.]]","[1.2241186324076243, 13.681111440845939, -16.17183934817526, 0]"
243,9,"[[680.  72.], [719.  77.], [712. 119.], [672. 113.]]","[1.242351632781672, 14.49968271151269, -15.66960716224505, 0]"
244,9,"[[683.  81.], [723.  85.], [716. 128.], [676. 122.]]","[1.1911968877604564, 14.713343585613103, -15.157786530597749, 0]"
244,8,"[[585.  56.], [601.  58.], [598.  76.], [583.  75.]]","[2.7095466883971184, 8.23319598066746, -17.31917257508347, 0]"
245,9,"[[680.  84.], [721.  88.], [712. 132.], [673. 125.]]","[1.1705869773861388, 14.534110688702299, -14.967262204208259, 0]"
245,8,"[[582.  57.], [599.  58.], [596.  77.], [579.  75.]]","[2.6723525241396264, 8.06000559740238, -17.290810367731808, 0]"
246,9,"[[681.  84.], [723.  89.], [714. 132.], [674. 126.]]","[1.1724815341739423, 14.624554551177624, -14.938153003733731, 0]"
246,8,"[[583.  56.], [599.  57.], [595.  77.], [579.  75.]]","[2.5211600594202532, 8.059141030620935, -17.319389946185613, 0]"
247,9,"[[682.  84.], [724.  89.], [715. 134.], [675. 127.]]","[1.1314526984229953, 14.679886807679935, -14.893093550478039, 0]"
247,8,"[[583.  56.], [600.  59.], [596.  77.], [579.  75.]]","[2.6503846346226827, 8.093855802569891, -17.289213832148967, 0]"
248,9,"[[678.  89.], [720.  93.], [712. 138.], [670. 131.]]","[1.1401983947018821, 14.44492299562819, -14.643804123887788, 0]"
248,8,"[[579.  59.], [596.  61.], [591.  80.], [575.  78.]]","[2.550483356984454, 7.831850319099971, -17.12978534351859, 0]"
249,9,"[[671.  94.], [713.  99.], [705. 144.], [663. 137.]]","[1.1228994119758273, 14.02747490427322, -14.301824040152566, 0]"
249,8,"[[572.  61.], [589.  64.], [584.  83.], [568.  81.]]","[2.501663530164581, 7.39966224660472, -16.96979003428606, 0]"
250,9,"[[630.  97.], [677. 106.], [664. 154.], [619. 145.]]","[1.00079097558245, 11.613816261954014, -13.86947499335984, 0]"
251,9,"[[217. 142.], [264. 149.], [256. 202.], [208. 194.]]","[0.9108073766076709, -13.615270265103021, -11.0514610501344, 0]"
251,8,"[[115.  90.], [134.  92.], [130. 113.], [112. 111.]]","[2.87523610439219, -20.001984975959488, -15.191553970536585, 0]"
252,2,"[[502.   6.], [633.  17.], [614. 150.], [486. 135.]]","[0.3689179448602614, 6.148466380901056, -16.676820917368822, 0]"
252,9,"[[175. 175.], [224. 182.], [218. 234.], [168. 228.]]","[0.9194788233701766, -15.89170672018625, -9.044002526236648, 0]"
252,8,"[[ 72. 120.], [ 92. 123.], [ 89. 144.], [ 69. 142.]]","[2.3538251711278604, -22.254361598788194, -13.381268358049882, 0]"
253,2,"[[501.   9.], [632.  21.], [613. 153.], [485. 138.]]","[0.36900738173485514, 6.091731026445984, -16.49146132408222, 0]"
253,9,"[[172. 175.], [222. 182.], [216. 235.], [166. 228.]]","[0.9133332221796021, -16.05283830567643, -9.036234088060198, 0]"
253,8,"[[ 69. 120.], [ 89. 123.], [ 86. 144.], [ 66. 141.]]","[2.4196551441003913, -22.416554032092506, -13.397642589487411, 0]"
254,2,"[[508.   6.], [640.  18.], [622. 150.], [492. 135.]]","[0.3660718970592017, 6.579146557373775, -16.677366983119953, 0]"
254,9,"[[178. 173.], [228. 180.], [222. 233.], [171. 224.]]","[0.9271637669095778, -15.721711318407358, -9.187784508030084, 0]"
255,2,"[[527.   6.], [647.  18.], [630. 137.], [513. 123.]]","[0.40680069611147895, 7.440843917906818, -17.039249163701893, 0]"
255,9,"[[189. 170.], [239. 177.], [233. 229.], [183. 221.]]","[0.9359563049224454, -15.075347490409058, -9.385203869647013, 0]"
256,9,"[[205. 161.], [254. 167.], [248. 220.], [199. 213.]]","[0.9168579914958451, -14.181790218587764, -9.932686889362861, 0]"
257,9,"[[222. 151.], [271. 157.], [266. 209.], [216. 202.]]","[0.9347932566634223, -13.171208510954301, -10.56720802703918, 0]"
258,9,"[[241. 139.], [290. 146.], [284. 197.], [236. 191.]]","[0.9360413230830033, -12.023750994999943, -11.253275139013892, 0]"
264,9,"[[526.  56.], [580.  60.], [573. 116.], [520. 110.]]","[0.8879805523632283, 5.6214986907786795, -16.192943064462998, 0]"
265,9,"[[549.  46.], [602.  50.], [595. 106.], [541. 101.]]","[0.8821361397014603, 6.982644997686833, -16.764391038014022, 0]"
266,9,"[[570.  34.], [625.  38.], [616.  96.], [563.  90.]]","[0.8753771029086678, 8.323564368146094, -17.412257013030032, 0]"
267,9,"[[588.  24.], [644.  28.], [634.  87.], [580.  79.]]","[0.8762910372756425, 9.432541877687811, -17.989219899670115, 0]"
268,9,"[[605.  17.], [661.  24.], [652.  83.], [596.  75.]]","[0.8646118379489598, 10.483014368265543, -18.262231948368083, 0]"
269,9,"[[617.  16.], [674.  22.], [664.  83.], [608.  75.]]","[0.8508947338860171, 11.208801410450718, -18.301093325260116, 0]"
270,9,"[[627.  17.], [686.  22.], [677.  84.], [619.  76.]]","[0.8379823149953745, 11.904814642656305, -18.255382525541542, 0]"
271,9,"[[641.  18.], [701.  24.], [690.  87.], [632.  78.]]","[0.828152681436225, 12.72788148066303, -18.147130536952346, 0]"
272,9,"[[655.  17.], [715.  24.], [704.  87.], [645.  79.]]","[0.8222841542644447, 13.547437583856237, -18.152233200787073, 0]"
273,9,"[[667.  15.], [729.  21.], [718.  85.], [657.  76.]]","[0.8111690860310078, 14.33227166908074, -18.310551404827212, 0]"
274,9,"[[681.  13.], [743.  20.], [731.  85.], [670.  76.]]","[0.8072693880822794, 15.113212612402322, -18.339868364761102, 0]"
275,9,"[[694.  12.], [759.  20.], [745.  84.], [683.  74.]]","[0.7926783027602676, 15.934278798508615, -18.388736141594805, 0]"
285,8,"[[706.  25.], [731.  25.], [728.  53.], [703.  54.]]","[1.8414303340212128, 15.771949388564849, -18.883885150579, 0]"
286,8,"[[691.  45.], [717.  45.], [714.  74.], [689.  74.]]","[1.7858237588705619, 14.93200806845951, -17.73484562343837, 0]"
287,8,"[[689.  51.], [715.  51.], [712.  80.], [686.  80.]]","[1.7720949310711167, 14.79750754960611, -17.391000261380224, 0]"
288,8,"[[685.  58.], [711.  58.], [708.  87.], [682.  87.]]","[1.7615025629802379, 14.559657657724728, -16.988358759473257, 0]"
289,8,"[[683.  51.], [708.  52.], [705.  80.], [680.  80.]]","[1.8029153876870714, 14.414082913894873, -17.375530849342724, 0]"
290,8,"[[672.  42.], [699.  42.], [696.  71.], [669.  71.]]","[1.767420123336434, 13.822398090388049, -17.899766698388653, 0]"
291,8,"[[665.  41.], [692.  41.], [689.  71.], [662.  70.]]","[1.743769772017477, 13.398624322209798, -17.942685658958368, 0]"
292,8,"[[660.  43.], [687.  43.], [683.  73.], [657.  72.]]","[1.7325789406453698, 13.084201955809391, -17.827754086398738, 0]"
293,8,"[[658.  39.], [686.  38.], [683.  68.], [657.  68.]]","[1.7445488570044754, 13.041174470681455, -18.083009821335178, 0]"
299,8,"[[465.   9.], [497.   3.], [501.  40.], [469.  46.]]","[1.3688523561946675, 1.4827245318665803, -19.643486130870038, 0]"
300,8,"[[456.  16.], [490.   9.], [493.  47.], [460.  53.]]","[1.3267826528101727, 0.9655571838737558, -19.265913653687523, 0]"
301,8,"[[451.  16.], [485.  11.], [488.  50.], [455.  55.]]","[1.2983509843648395, 0.669689658219994, -19.162035420613876, 0]"
302,8,"[[455.  20.], [489.  14.], [493.  53.], [460.  59.]]","[1.2915197121575686, 0.9496520981023764, -18.967136066595334, 0]"
303,8,"[[456.  15.], [489.  10.], [493.  50.], [460.  55.]]","[1.3985395881707021, 0.9575490614963087, -19.194340907546362, 0]"
304,8,"[[454.  41.], [490.  37.], [493.  81.], [456.  84.]]","[1.1501273778924788, 0.8594487069033221, -17.594444937723686, 0]"
305,8,"[[527.  49.], [571.  46.], [569.  99.], [526. 100.]]","[0.9568361802780639, 5.520229615832648, -16.882811356216806, 0]"
306,8,"[[548.  55.], [593.  52.], [591. 108.], [546. 108.]]","[0.9122401541440297, 6.831170105025592, -16.46954313510798, 0]"
307,8,"[[560.  57.], [606.  55.], [603. 111.], [557. 111.]]","[0.9034054973603467, 7.570556031112261, -16.314512389092233, 0]"
308,8,"[[576.  54.], [624.  52.], [619. 109.], [572. 109.]]","[0.8862476151879749, 8.569807305927782, -16.465074625918778, 0]"
309,8,"[[595.  49.], [644.  47.], [639. 106.], [591. 105.]]","[0.8709444463253163, 9.763275852822972, -16.714272038772773, 0]"
310,8,"[[617.  45.], [667.  44.], [662. 104.], [612. 102.]]","[0.8630939801742944, 11.116455821585049, -16.89224567279324, 0]"
311,8,"[[645.  49.], [697.  49.], [691. 110.], [640. 108.]]","[0.8454494332774537, 12.844201882424983, -16.596693060944684, 0]"
312,8,"[[671.  49.], [724.  48.], [717. 111.], [665. 109.]]","[0.8283387144873121, 14.388476956327452, -16.589558235804983, 0]"
313,8,"[[692.  52.], [746.  54.], [737. 119.], [684. 113.]]","[0.8104695196294188, 15.590758099246244, -16.28870309148151, 0]"
314,8,"[[711.  59.], [767.  61.], [756. 127.], [701. 121.]]","[0.79661820153497, 16.692889742645235, -15.859991215471236, 0]"
316,1,"[[ 99. 110.], [124. 110.], [125. 132.], [101. 133.]]","[2.193256610340193, -20.56833770659958, -14.033686941209952, 0]"
317,1,"[[134. 117.], [159. 120.], [157. 142.], [134. 141.]]","[2.1711525105221146, -18.731860699719476, -13.527199366691997, 0]"
